"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/25/2019,"7:00 pm","8:00 pm","Sky  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Chicago Sky",05/25/2019,"9:30 pm","10:30 pm",true,05/25/2019,"4:00 pm","5:00 pm"
05/29/2019,"7:00 pm","8:00 pm","Storm  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Seattle Storm",05/29/2019,"9:30 pm","10:30 pm",true,05/29/2019,"4:00 pm","5:00 pm"
06/01/2019,"7:00 pm","8:00 pm","Lynx  @ Wings","College Park Center","Regular Season - Dallas Wings vs Minnesota Lynx",06/01/2019,"9:30 pm","10:30 pm",true,06/01/2019,"4:00 pm","5:00 pm"
06/04/2019,"9:00 pm","10:00 pm","Lynx  @ Storm","Angel of the Winds Arena","Regular Season - Seattle Storm vs Minnesota Lynx",06/04/2019,"11:30 pm","12:30 am",true,06/04/2019,"6:00 pm","7:00 pm"
06/06/2019,"7:00 pm","8:00 pm","Mercury  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Phoenix Mercury",06/06/2019,"9:30 pm","10:30 pm",true,06/06/2019,"4:00 pm","5:00 pm"
06/08/2019,"2:30 pm","3:30 pm","Sparks  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Los Angeles Sparks",06/08/2019,"5:00 pm","6:00 pm",true,06/08/2019,"11:30 am","12:30 pm"
06/12/2019,"6:00 pm","7:00 pm","Lynx  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Minnesota Lynx",06/12/2019,"8:30 pm","9:30 pm",true,06/12/2019,"3:00 pm","4:00 pm"
06/14/2019,"7:00 pm","8:00 pm","Sun  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Connecticut Sun",06/14/2019,"9:30 pm","10:30 pm",true,06/14/2019,"4:00 pm","5:00 pm"
06/16/2019,"6:00 pm","7:00 pm","Aces  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Las Vegas Aces",06/16/2019,"8:30 pm","9:30 pm",true,06/16/2019,"3:00 pm","4:00 pm"
06/22/2019,"7:00 pm","8:00 pm","Liberty  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs New York Liberty",06/22/2019,"9:30 pm","10:30 pm",true,06/22/2019,"4:00 pm","5:00 pm"
06/25/2019,"6:00 pm","7:00 pm","Lynx  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Minnesota Lynx",06/25/2019,"8:30 pm","9:30 pm",true,06/25/2019,"3:00 pm","4:00 pm"
06/30/2019,"3:00 pm","4:00 pm","Lynx  @ Wings","College Park Center","Regular Season - Dallas Wings vs Minnesota Lynx",06/30/2019,"5:30 pm","6:30 pm",true,06/30/2019,"12:00 pm","1:00 pm"
07/02/2019,"7:00 pm","8:00 pm","Dream  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Atlanta Dream",07/02/2019,"9:30 pm","10:30 pm",true,07/02/2019,"4:00 pm","5:00 pm"
07/06/2019,"1:00 pm","2:00 pm","Lynx  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Minnesota Lynx",07/06/2019,"3:30 pm","4:30 pm",true,07/06/2019,"10:00 am","11:00 am"
07/10/2019,"7:30 pm","8:30 pm","Lynx  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Minnesota Lynx",07/10/2019,"10:00 pm","11:00 pm",true,07/10/2019,"4:30 pm","5:30 pm"
07/12/2019,"6:30 pm","7:30 pm","Lynx  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Minnesota Lynx",07/12/2019,"9:00 pm","10:00 pm",true,07/12/2019,"3:30 pm","4:30 pm"
07/14/2019,"6:00 pm","7:00 pm","Mercury  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Phoenix Mercury",07/14/2019,"8:30 pm","9:30 pm",true,07/14/2019,"3:00 pm","4:00 pm"
07/17/2019,"7:00 pm","8:00 pm","Storm  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Seattle Storm",07/17/2019,"9:30 pm","10:30 pm",true,07/17/2019,"4:00 pm","5:00 pm"
07/21/2019,"5:00 pm","6:00 pm","Lynx  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Minnesota Lynx",07/21/2019,"7:30 pm","8:30 pm",true,07/21/2019,"2:00 pm","3:00 pm"
07/24/2019,"12:00 pm","1:00 pm","Mystics  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Washington Mystics",07/24/2019,"2:30 pm","3:30 pm",true,07/24/2019,"9:00 am","10:00 am"
08/03/2019,"6:00 pm","7:00 pm","Lynx  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Minnesota Lynx",08/03/2019,"8:30 pm","9:30 pm",true,08/03/2019,"3:00 pm","4:00 pm"
08/06/2019,"6:00 pm","7:00 pm","Lynx  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Minnesota Lynx",08/06/2019,"8:30 pm","9:30 pm",true,08/06/2019,"3:00 pm","4:00 pm"
08/09/2019,"7:00 pm","8:00 pm","Sun  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Connecticut Sun",08/09/2019,"9:30 pm","10:30 pm",true,08/09/2019,"4:00 pm","5:00 pm"
08/11/2019,"2:00 pm","3:00 pm","Lynx  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Minnesota Lynx",08/11/2019,"4:30 pm","5:30 pm",true,08/11/2019,"11:00 am","12:00 pm"
08/13/2019,"10:00 am","11:00 am","Lynx  @ Liberty","Arena TBD (NYL)","Regular Season - New York Liberty vs Minnesota Lynx",08/13/2019,"12:30 pm","1:30 pm",true,08/13/2019,"7:00 am","8:00 am"
08/16/2019,"7:00 pm","8:00 pm","Mystics  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Washington Mystics",08/16/2019,"9:30 pm","10:30 pm",true,08/16/2019,"4:00 pm","5:00 pm"
08/18/2019,"6:00 pm","7:00 pm","Lynx  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Minnesota Lynx",08/18/2019,"8:30 pm","9:30 pm",true,08/18/2019,"3:00 pm","4:00 pm"
08/20/2019,"9:30 pm","10:30 pm","Lynx  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Minnesota Lynx",08/20/2019,"12:00 am","1:00 am",true,08/20/2019,"6:30 pm","7:30 pm"
08/22/2019,"7:00 pm","8:00 pm","Wings  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Dallas Wings",08/22/2019,"9:30 pm","10:30 pm",true,08/22/2019,"4:00 pm","5:00 pm"
08/25/2019,"6:00 pm","7:00 pm","Aces  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Las Vegas Aces",08/25/2019,"8:30 pm","9:30 pm",true,08/25/2019,"3:00 pm","4:00 pm"
08/27/2019,"7:00 pm","8:00 pm","Sky  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Chicago Sky",08/27/2019,"9:30 pm","10:30 pm",true,08/27/2019,"4:00 pm","5:00 pm"
09/01/2019,"6:00 pm","7:00 pm","Fever  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Indiana Fever",09/01/2019,"8:30 pm","9:30 pm",true,09/01/2019,"3:00 pm","4:00 pm"
09/06/2019,"9:00 pm","10:00 pm","Lynx  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Minnesota Lynx",09/06/2019,"11:30 pm","12:30 am",true,09/06/2019,"6:00 pm","7:00 pm"
09/08/2019,"4:00 pm","5:00 pm","Lynx  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Minnesota Lynx",09/08/2019,"6:30 pm","7:30 pm",true,09/08/2019,"1:00 pm","2:00 pm"
