Subject,Start date,Start time,End date, End time,All day event,Location
Sky Blue FC at Washington Spirit,2019-04-13,16:00,2019-04-13,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Chicago Red Stars at North Carolina Courage,2019-04-13,16:00,2019-04-13,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Portland Thorns FC at Orlando Pride,2019-04-14,14:00,2019-04-14,16:00,false,"Orlando City Stadium Orlando, Florida"
Reign FC at Houston Dash,2019-04-14,15:00,2019-04-14,17:00,false,"BBVA Compass Stadium Houston, Texas"
Orlando Pride at North Carolina Courage,2019-04-17,16:00,2019-04-17,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Portland Thorns FC at Chicago Red Stars,2019-04-20,12:30,2019-04-20,14:30,false,"SeatGeek Stadium Bridgeview, Illinois"
Houston Dash at Sky Blue FC,2019-04-20,15:00,2019-04-20,17:00,false,"Yurcak Field Piscataway, New Jersey"
Washington Spirit at Utah Royals FC,2019-04-20,18:00,2019-04-20,20:00,false,"Rio Tinto Stadium Sandy, Utah"
Orlando Pride at Reign FC,2019-04-21,19:00,2019-04-21,21:00,false,"Cheney Stadium Tacoma, Washington"
Utah Royals FC at Orlando Pride,2019-04-27,16:30,2019-04-27,18:30,false,"Orlando City Stadium Orlando, Florida"
Reign FC at Chicago Red Stars,2019-04-27,17:00,2019-04-27,19:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Portland Thorns FC at Sky Blue FC,2019-04-28,15:00,2019-04-28,17:00,false,"Yurcak Field Piscataway, New Jersey"
North Carolina Courage at Houston Dash,2019-04-28,15:00,2019-04-28,17:00,false,"BBVA Compass Stadium Houston, Texas"
Chicago Red Stars at Utah Royals FC,2019-05-03,18:30,2019-05-03,20:30,false,"Rio Tinto Stadium Sandy, Utah"
Reign FC at Washington Spirit,2019-05-04,16:00,2019-05-04,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Sky Blue FC at North Carolina Courage,2019-05-04,16:00,2019-05-04,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Orlando Pride at Houston Dash,2019-05-05,15:00,2019-05-05,17:00,false,"BBVA Compass Stadium Houston, Texas"
Washington Spirit at Sky Blue FC,2019-05-11,12:00,2019-05-11,14:00,false,"Yurcak Field Piscataway, New Jersey"
Houston Dash at Utah Royals FC,2019-05-11,12:30,2019-05-11,14:30,false,"Rio Tinto Stadium Sandy, Utah"
Portland Thorns FC at Orlando Pride,2019-05-11,16:30,2019-05-11,18:30,false,"Orlando City Stadium Orlando, Florida"
North Carolina Courage at Chicago Red Stars,2019-05-12,15:00,2019-05-12,17:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Sky Blue FC at Reign FC,2019-05-18,13:00,2019-05-18,15:00,false,"Cheney Stadium Tacoma, Washington"
Portland Thorns FC at Washington Spirit,2019-05-18,16:00,2019-05-18,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Utah Royals FC at North Carolina Courage,2019-05-19,14:00,2019-05-19,16:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Chicago Red Stars at Houston Dash,2019-05-19,15:00,2019-05-19,17:00,false,"BBVA Compass Stadium Houston, Texas"
Portland Thorns FC at Sky Blue FC,2019-05-25,15:00,2019-05-25,17:00,false,"Yurcak Field Piscataway, New Jersey"
Orlando Pride at Utah Royals FC,2019-05-25,17:00,2019-05-25,19:00,false,"Rio Tinto Stadium Sandy, Utah"
Washington Spirit at Chicago Red Stars,2019-05-26,15:00,2019-05-26,17:00,false,"SeatGeek Stadium Bridgeview, Illinois"
North Carolina Courage at Reign FC,2019-05-27,16:00,2019-05-27,18:00,false,"Cheney Stadium Tacoma, Washington"
Utah Royals FC at Washington Spirit,2019-06-01,16:00,2019-06-01,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
North Carolina Courage at Orlando Pride,2019-06-01,16:30,2019-06-01,18:30,false,"Orlando City Stadium Orlando, Florida"
Houston Dash at Reign FC,2019-06-02,13:00,2019-06-02,15:00,false,"Cheney Stadium Tacoma, Washington"
Chicago Red Stars at Portland Thorns FC,2019-06-02,15:00,2019-06-02,17:00,false,"Providence Park Portland, Oregon"
Portland Thorns FC at North Carolina Courage,2019-06-15,16:45,2019-06-15,18:45,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Orlando Pride at Houston Dash,2019-06-15,17:30,2019-06-15,19:30,false,"BBVA Compass Stadium Houston, Texas"
Sky Blue FC at Utah Royals FC,2019-06-15,19:00,2019-06-15,21:00,false,"Rio Tinto Stadium Sandy, Utah"
Washington Spirit at Reign FC,2019-06-15,19:00,2019-06-15,21:00,false,"Cheney Stadium Tacoma, Washington"
Utah Royals FC at Portland Thorns FC,2019-06-21,20:00,2019-06-21,22:00,false,"Providence Park Portland, Oregon"
Houston Dash at Washington Spirit,2019-06-22,16:00,2019-06-22,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Orlando Pride at Sky Blue FC,2019-06-22,16:00,2019-06-22,18:00,false,"Yurcak Field Piscataway, New Jersey"
Reign FC at Chicago Red Stars,2019-06-23,15:00,2019-06-23,17:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Reign FC at Utah Royals FC,2019-06-28,19:00,2019-06-28,21:00,false,"Rio Tinto Stadium Sandy, Utah"
North Carolina Courage at Washington Spirit,2019-06-29,16:00,2019-06-29,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Portland Thorns FC at Houston Dash,2019-06-29,17:30,2019-06-29,19:30,false,"BBVA Compass Stadium Houston, Texas"
Chicago Red Stars at Orlando Pride,2019-06-30,14:00,2019-06-30,16:00,false,"Orlando City Stadium Orlando, Florida"
Houston Dash at North Carolina Courage,2019-07-05,16:00,2019-07-05,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Reign FC at Portland Thorns FC,2019-07-05,20:00,2019-07-05,22:00,false,"Providence Park Portland, Oregon"
Washington Spirit at Orlando Pride,2019-07-06,16:30,2019-07-06,18:30,false,"Orlando City Stadium Orlando, Florida"
Sky Blue FC at Chicago Red Stars,2019-07-06,17:00,2019-07-06,19:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Utah Royals FC at Sky Blue FC,2019-07-12,16:30,2019-07-12,18:30,false,"Yurcak Field Piscataway, New Jersey"
Reign FC at North Carolina Courage,2019-07-13,16:00,2019-07-13,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Chicago Red Stars at Houston Dash,2019-07-13,17:30,2019-07-13,19:30,false,"BBVA Compass Stadium Houston, Texas"
Orlando Pride at Portland Thorns FC,2019-07-14,12:00,2019-07-14,14:00,false,"Providence Park Portland, Oregon"
Portland Thorns FC at Utah Royals FC,2019-07-19,19:00,2019-07-19,21:00,false,"Rio Tinto Stadium Sandy, Utah"
Houston Dash at Washington Spirit,2019-07-20,16:00,2019-07-20,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Sky Blue FC at Orlando Pride,2019-07-20,16:30,2019-07-20,18:30,false,"Orlando City Stadium Orlando, Florida"
North Carolina Courage at Chicago Red Stars,2019-07-21,15:00,2019-07-21,17:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Washington Spirit at Sky Blue FC,2019-07-24,16:30,2019-07-24,18:30,false,"Yurcak Field Piscataway, New Jersey"
Houston Dash at Portland Thorns FC,2019-07-24,19:30,2019-07-24,21:30,false,"Providence Park Portland, Oregon"
North Carolina Courage at Utah Royals FC,2019-07-27,19:00,2019-07-27,21:00,false,"Rio Tinto Stadium Sandy, Utah"
Chicago Red Stars at Reign FC,2019-07-28,13:00,2019-07-28,15:00,false,"Cheney Stadium Tacoma, Washington"
Sky Blue FC at Houston Dash,2019-07-28,16:00,2019-07-28,18:00,false,"BBVA Compass Stadium Houston, Texas"
Washington Spirit at North Carolina Courage,2019-08-02,16:00,2019-08-02,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Reign FC at Houston Dash,2019-08-02,16:00,2019-08-02,18:00,false,"BBVA Compass Stadium Houston, Texas"
Utah Royals FC at Chicago Red Stars,2019-08-03,17:00,2019-08-03,19:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Sky Blue FC at Portland Thorns FC,2019-08-03,20:00,2019-08-03,22:00,false,"Providence Park Portland, Oregon"
Sky Blue FC at Utah Royals FC,2019-08-07,19:00,2019-08-07,21:00,false,"Rio Tinto Stadium Sandy, Utah"
Portland Thorns FC at Reign FC,2019-08-07,19:00,2019-08-07,21:00,false,"Cheney Stadium Tacoma, Washington"
Chicago Red Stars at Washington Spirit,2019-08-10,16:00,2019-08-10,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Houston Dash at Orlando Pride,2019-08-10,16:30,2019-08-10,18:30,false,"Orlando City Stadium Orlando, Florida"
North Carolina Courage at Portland Thorns FC,2019-08-11,12:00,2019-08-11,14:00,false,"Providence Park Portland, Oregon"
Utah Royals FC at Reign FC,2019-08-11,13:00,2019-08-11,15:00,false,"Cheney Stadium Tacoma, Washington"
Chicago Red Stars at Sky Blue FC,2019-08-14,16:00,2019-08-14,18:00,false,"Yurcak Field Piscataway, New Jersey"
Houston Dash at North Carolina Courage,2019-08-16,16:00,2019-08-16,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Utah Royals FC at Orlando Pride,2019-08-17,16:30,2019-08-17,18:30,false,"Orlando City Stadium Orlando, Florida"
Washington Spirit at Portland Thorns FC,2019-08-17,19:30,2019-08-17,21:30,false,"Providence Park Portland, Oregon"
Reign FC at Sky Blue FC,2019-08-18,10:00,2019-08-18,12:00,false,"Yurcak Field Piscataway, New Jersey"
Utah Royals FC at Washington Spirit,2019-08-21,16:30,2019-08-21,18:30,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Orlando Pride at Chicago Red Stars,2019-08-21,16:30,2019-08-21,18:30,false,"SeatGeek Stadium Bridgeview, Illinois"
Reign FC at North Carolina Courage,2019-08-24,16:00,2019-08-24,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Orlando Pride at Washington Spirit,2019-08-24,16:30,2019-08-24,18:30,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Sky Blue FC at Houston Dash,2019-08-24,17:30,2019-08-24,19:30,false,"BBVA Compass Stadium Houston, Texas"
Chicago Red Stars at Portland Thorns FC,2019-08-25,12:00,2019-08-25,14:00,false,"Providence Park Portland, Oregon"
Washington Spirit at Orlando Pride,2019-08-31,16:30,2019-08-31,18:30,false,"Orlando City Stadium Orlando, Florida"
Portland Thorns FC at Utah Royals FC,2019-09-06,18:30,2019-09-06,20:30,false,"Rio Tinto Stadium Sandy, Utah"
North Carolina Courage at Sky Blue FC,2019-09-07,12:00,2019-09-07,14:00,false,"Yurcak Field Piscataway, New Jersey"
Orlando Pride at Reign FC,2019-09-07,19:00,2019-09-07,21:00,false,"Cheney Stadium Tacoma, Washington"
Houston Dash at Chicago Red Stars,2019-09-08,15:00,2019-09-08,17:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Chicago Red Stars at Orlando Pride,2019-09-11,16:30,2019-09-11,18:30,false,"Orlando City Stadium Orlando, Florida"
North Carolina Courage at Portland Thorns FC,2019-09-11,19:30,2019-09-11,21:30,false,"Providence Park Portland, Oregon"
Utah Royals FC at Houston Dash,2019-09-13,17:30,2019-09-13,19:30,false,"BBVA Compass Stadium Houston, Texas"
Orlando Pride at North Carolina Courage,2019-09-14,16:00,2019-09-14,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Reign FC at Washington Spirit,2019-09-14,16:30,2019-09-14,18:30,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Chicago Red Stars at Sky Blue FC,2019-09-15,14:00,2019-09-15,16:00,false,"Yurcak Field Piscataway, New Jersey"
Utah Royals FC at Reign FC,2019-09-18,19:00,2019-09-18,21:00,false,"Cheney Stadium Tacoma, Washington"
Washington Spirit at Chicago Red Stars,2019-09-21,17:00,2019-09-21,19:00,false,"SeatGeek Stadium Bridgeview, Illinois"
North Carolina Courage at Utah Royals FC,2019-09-21,18:00,2019-09-21,20:00,false,"Rio Tinto Stadium Sandy, Utah"
Sky Blue FC at Reign FC,2019-09-21,19:00,2019-09-21,21:00,false,"Cheney Stadium Tacoma, Washington"
Houston Dash at Portland Thorns FC,2019-09-21,19:30,2019-09-21,21:30,false,"Providence Park Portland, Oregon"
Washington Spirit at Houston Dash,2019-09-25,17:30,2019-09-25,19:30,false,"BBVA Compass Stadium Houston, Texas"
North Carolina Courage at Washington Spirit,2019-09-28,16:00,2019-09-28,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Utah Royals FC at Chicago Red Stars,2019-09-28,17:00,2019-09-28,19:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Orlando Pride at Sky Blue FC,2019-09-29,10:00,2019-09-29,12:00,false,"Yurcak Field Piscataway, New Jersey"
Portland Thorns FC at Reign FC,2019-09-29,13:00,2019-09-29,15:00,false,"Cheney Stadium Tacoma, Washington"
Sky Blue FC at North Carolina Courage,2019-10-12,16:00,2019-10-12,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Reign FC at Orlando Pride,2019-10-12,16:30,2019-10-12,18:30,false,"Orlando City Stadium Orlando, Florida"
Houston Dash at Utah Royals FC,2019-10-12,18:30,2019-10-12,20:30,false,"Rio Tinto Stadium Sandy, Utah"
Washington Spirit at Portland Thorns FC,2019-10-12,19:30,2019-10-12,21:30,false,"Providence Park Portland, Oregon"